192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /css/app.9e73ee8c.css HTTP/1.1" 200 1050 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /css/npm.highlight.js.75d456e0.css HTTP/1.1" 200 854 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /css/npm.iview.40f5911f.css HTTP/1.1" 200 39335 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.axios.8827e1ee.js HTTP/1.1" 200 5939 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.buffer.bf706a57.js HTTP/1.1" 200 5930 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/app.d5b32ba3.js HTTP/1.1" 200 5456 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.clipboard.f2fc25ef.js HTTP/1.1" 200 3401 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.highlight.js.18266e66.js HTTP/1.1" 200 283928 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.core-js.67beb660.js HTTP/1.1" 200 10942 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
192.168.147.1 - - [13/Sep/2025:07:58:16 +0000] "GET /js/npm.iview.68be33d4.js HTTP/1.1" 200 137115 "http://localhost:8088/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
